date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:46:58	56026/56026	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Sep%202025%2011:36:46%20GMT	https://alistamento.eb.mil.br/assets/images/intro/eb.jpg	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/assets/images/intro/eb.jpg	(from https://alistamento.eb.mil.br/assets/css/main.css)
00:46:59	51108/51108	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Sep%202025%2011:36:46%20GMT	https://alistamento.eb.mil.br/assets/images/intro/mb.jpg	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/assets/images/intro/mb.jpg	(from https://alistamento.eb.mil.br/assets/css/main.css)
00:46:59	47213/47213	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Sep%202025%2011:36:46%20GMT	https://alistamento.eb.mil.br/assets/images/intro/fab.jpg	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/assets/images/intro/fab.jpg	(from https://alistamento.eb.mil.br/assets/css/main.css)
00:46:59	1489/1489	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Sep%202025%2011:36:46%20GMT	https://alistamento.eb.mil.br/assets/lib/alertify/bootstrap.min.css	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/assets/lib/alertify/bootstrap.min.css	(from https://alistamento.eb.mil.br/alistamento-feminino)
00:47:00	15402/15402	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Sep%202025%2011:36:46%20GMT	https://alistamento.eb.mil.br/assets/lib/datatables/datatables.min.css	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/assets/lib/datatables/datatables.min.css	(from https://alistamento.eb.mil.br/alistamento-feminino)
00:47:01	7785/7785	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Sep%202025%2011:36:46%20GMT	https://alistamento.eb.mil.br/assets/lib/datetimepicker/css/bootstrap-datetimepicker.min.css	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/assets/lib/datetimepicker/css/bootstrap-datetimepicker.min.css	(from https://alistamento.eb.mil.br/alistamento-feminino)
00:47:01	981795/981795	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Sep%202025%2011:36:46%20GMT	https://alistamento.eb.mil.br/assets/images/intro/wallpaper1.png	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/assets/images/intro/wallpaper1.png	(from https://alistamento.eb.mil.br/assets/css/main.css)
00:47:01	58/58	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Sep%202025%2011:36:46%20GMT	https://alistamento.eb.mil.br/assets/css/ie_fix.css	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/assets/css/ie_fix.css	(from https://alistamento.eb.mil.br/alistamento-feminino)
00:47:01	11070/11070	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Sep%202025%2011:36:46%20GMT	https://alistamento.eb.mil.br/assets/images/sermilmob.png	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/assets/images/sermilmob.png	(from https://alistamento.eb.mil.br/alistamento-feminino)
00:47:02	290545/290545	---M--	200	added ('OK')	application/pdf	date:Fri,%2005%20Sep%202025%2011:36:46%20GMT	https://alistamento.eb.mil.br/assets/pdf/muntrib.pdf	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/assets/pdf/muntrib.pdf	(from https://alistamento.eb.mil.br/alistamento-feminino)
00:47:02	51351/51351	---M--	200	added ('OK')	text/javascript	date:Fri,%2005%20Sep%202025%2011:36:46%20GMT	https://alistamento.eb.mil.br/assets/lib/components-modernizr/modernizr.js	C:/Users/arthu/Desktop/HTTracker/Eb/alistamento.eb.mil.br/assets/lib/components-modernizr/modernizr.js	(from https://alistamento.eb.mil.br/alistamento-feminino)
